READING_MEANING_READING,バイ,"う.る
う.れる",,,,
READING_MEANING_MEANING_ENG,"sell
betray
show off",,,,,
READING_MEANING_MEANING_POL,"sprzedawanie
zdradzanie
ujawnianie
popisywanie się
afiszowanie
paradowanie
szpanowanie",,,,,
END,賣,,,,,
,,,,,,
,,,,,,
BEGIN,滋,1571,,,,
CODE_POINT,ucs,6ecb,,,,
CODE_POINT,jis208,1-28-02,,,,
RADICAL,classical,85,,,,
MISC,4,12,,1563,,1
MISC2,,true,,,,
DICTIONARY_NUMBER,nelson_c,-,-,2626,,
DICTIONARY_NUMBER,nelson_n,-,-,3238,,
DICTIONARY_NUMBER,halpern_njecd,-,-,602,,
DICTIONARY_NUMBER,halpern_kkd,-,-,734,,
DICTIONARY_NUMBER,halpern_kkld,-,-,437,,
DICTIONARY_NUMBER,halpern_kkld_2ed,-,-,549,,
DICTIONARY_NUMBER,heisig,-,-,1388,,
DICTIONARY_NUMBER,heisig6,-,-,1489,,
DICTIONARY_NUMBER,gakken,-,-,1625,,
DICTIONARY_NUMBER,oneill_names,-,-,2460,,
DICTIONARY_NUMBER,oneill_kk,-,-,1395,,
DICTIONARY_NUMBER,moro,7,0147,17919P,,
DICTIONARY_NUMBER,henshall,-,-,1327,,
DICTIONARY_NUMBER,sh_kk,-,-,1549,,
DICTIONARY_NUMBER,sh_kk2,-,-,1651,,
DICTIONARY_NUMBER,jf_cards,-,-,1489,,
DICTIONARY_NUMBER,tutt_cards,-,-,1559,,
DICTIONARY_NUMBER,kanji_in_context,-,-,1776,,
DICTIONARY_NUMBER,kodansha_compact,-,-,1222,,
DICTIONARY_NUMBER,maniette,-,-,1400,,
QUERY_CODE,skip,-,1-3-9,,,
QUERY_CODE,sh_desc,-,3a9.27,,,
QUERY_CODE,four_corner,-,3813.2,,,
QUERY_CODE,deroo,-,371,,,
READING_MEANING_NANONI,"し
しげ
しげる",,,,,
READING_MEANING_READING,"ジ
シ",,,,,
READING_MEANING_MEANING_ENG,"nourishing
more & more
be luxuriant
planting
turbidity",,,,,
READING_MEANING_MEANING_POL,"odżywczy
pożywny
więcej i więcej
bycie bujny
bycie obfity
sadzenie
sianie
gęstość",,,,,
END,滋,,,,,
,,,,,,
,,,,,,
BEGIN,幰,10382,,,,
CODE_POINT,ucs,5e70,,,,
CODE_POINT,jis212,1-28-33,,,,
RADICAL,classical,50,,,,
MISC,-,19,,-,,-
MISC2,,false,,,,
DICTIONARY_NUMBER,moro,-,-,9143,,
QUERY_CODE,skip,-,1-3-16,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,"ケン
コン",ほろ,,,,
READING_MEANING_MEANING_ENG,curtain at front of carriage,,,,,
READING_MEANING_MEANING_POL,zasłona na przodzie powozu,,,,,
END,幰,,,,,
,,,,,,
,,,,,,
BEGIN,麤,9944,,,,
CODE_POINT,ucs,9ea4,,,,
CODE_POINT,jis212,1-76-72,,,,
CODE_POINT,jis213,1-94-76,,,,
RADICAL,classical,198,,,,
MISC,-,33,jis212|1-76-63,-,,-
MISC2,,false,,,,
DICTIONARY_NUMBER,nelson_c,-,-,5384,,
DICTIONARY_NUMBER,nelson_n,-,-,7029,,
DICTIONARY_NUMBER,moro,-,-,47714,,
QUERY_CODE,skip,-,2-11-22,,,
QUERY_CODE,sh_desc,-,3q30.1,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,ソ,"はな.れる
あら.い",,,,
READING_MEANING_MEANING_ENG,"rough
coarse
big",,,,,
READING_MEANING_MEANING_POL,"szorstki
chropowaty
duży
wielki",,,,,
END,麤,,,,,
,,,,,,
,,,,,,
BEGIN,姐,3308,,,,
CODE_POINT,ucs,59d0,,,,
CODE_POINT,jis208,1-16-25,,,,
RADICAL,classical,38,,,,
MISC,-,8,,-,,-
MISC2,,true,,,,
DICTIONARY_NUMBER,nelson_c,-,-,1202,,
DICTIONARY_NUMBER,nelson_n,-,-,1195,,
DICTIONARY_NUMBER,heisig,-,-,2206,,
DICTIONARY_NUMBER,heisig6,-,-,2318,,
DICTIONARY_NUMBER,moro,3,0665,6172,,
QUERY_CODE,skip,-,1-3-5,,,
QUERY_CODE,sh_desc,-,3e5.5,,,
QUERY_CODE,four_corner,-,4741.0,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,"ソ
シャ","あね
ねえさん",,,,
READING_MEANING_MEANING_ENG,"elder sister
maidservant",,,,,
READING_MEANING_MEANING_POL,"starsza siostra
służąca",,,,,
END,姐,,,,,
,,,,,,
,,,,,,
BEGIN,痲,4130,,,,
CODE_POINT,ucs,75f2,,,,
CODE_POINT,jis208,1-65-68,,,,
RADICAL,classical,104,,,,
MISC,-,13,,-,,-
MISC2,,true,,,,
DICTIONARY_NUMBER,nelson_c,-,-,3057,,
DICTIONARY_NUMBER,nelson_n,-,-,3818,,
DICTIONARY_NUMBER,moro,7,1180,22254,,
QUERY_CODE,skip,-,3-5-8,,,
QUERY_CODE,sh_desc,-,5i8.3,,,
QUERY_CODE,four_corner,-,0011.4,,,
QUERY_CODE,four_corner,-,0019.4,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,"マ
バ",しび.れる,,,,
READING_MEANING_MEANING_ENG,"measles
paralysis",,,,,
READING_MEANING_MEANING_POL,"odra
paraliż
porażenie
bezwład",,,,,
END,痲,,,,,
,,,,,,
,,,,,,
BEGIN,彫,2001,,,,
CODE_POINT,ucs,5f6b,,,,
CODE_POINT,jis208,1-36-06,,,,
RADICAL,classical,59,,,,
RADICAL,nelson_c,4,,,,
MISC,8,11,,1533,,1
MISC2,,true,,,,
DICTIONARY_NUMBER,nelson_c,-,-,236,,
DICTIONARY_NUMBER,nelson_n,-,-,1719,,
DICTIONARY_NUMBER,halpern_njecd,-,-,1683,,
DICTIONARY_NUMBER,halpern_kkd,-,-,2117,,
DICTIONARY_NUMBER,halpern_kkld,-,-,1104,,
DICTIONARY_NUMBER,halpern_kkld_2ed,-,-,1503,,
DICTIONARY_NUMBER,heisig,-,-,1710,,
DICTIONARY_NUMBER,heisig6,-,-,1846,,
DICTIONARY_NUMBER,gakken,-,-,1366,,
DICTIONARY_NUMBER,oneill_names,-,-,1412,,
DICTIONARY_NUMBER,oneill_kk,-,-,1167,,
DICTIONARY_NUMBER,moro,4,0795,9995P,,
DICTIONARY_NUMBER,henshall,-,-,1590,,
DICTIONARY_NUMBER,sh_kk,-,-,1149,,
DICTIONARY_NUMBER,sh_kk2,-,-,1202,,
DICTIONARY_NUMBER,jf_cards,-,-,1274,,
DICTIONARY_NUMBER,tutt_cards,-,-,1430,,
DICTIONARY_NUMBER,kanji_in_context,-,-,1358,,
DICTIONARY_NUMBER,kodansha_compact,-,-,617,,
DICTIONARY_NUMBER,maniette,-,-,1726,,
QUERY_CODE,skip,-,1-8-3,,,
QUERY_CODE,sh_desc,-,3j8.2,,,
QUERY_CODE,four_corner,-,7222.2,,,
QUERY_CODE,deroo,-,3660,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,チョウ,"ほ.る
-ぼ.り",,,,
READING_MEANING_MEANING_ENG,"carve
engrave
chisel",,,,,
READING_MEANING_MEANING_POL,"rzeźbienie
grawerowanie
rycie
dłuto",,,,,
END,彫,,,,,
,,,,,,
,,,,,,
BEGIN,軃,6429,,,,
CODE_POINT,ucs,8ec3,,,,
CODE_POINT,jis212,1-64-54,,,,
RADICAL,classical,158,,,,
MISC,-,19,,-,,-
MISC2,,false,,,,
DICTIONARY_NUMBER,moro,-,-,38145,,
QUERY_CODE,skip,-,1-7-12,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,タ,,,,,
END,軃,,,,,
,,,,,,
,,,,,,
BEGIN,𡶒,12288,,,,
CODE_POINT,ucs,21D92,,,,
CODE_POINT,jis213,2-08-37,,,,
RADICAL,classical,46,,,,
MISC,-,8,,-,,-
MISC2,,false,,,,
QUERY_CODE,skip,-,1-3-5,,,
END,𡶒,,,,,
,,,,,,
,,,,,,
BEGIN,呷,5943,,,,
CODE_POINT,ucs,5477,,,,
CODE_POINT,jis208,1-50-78,,,,
RADICAL,classical,30,,,,
MISC,-,8,,-,,-
MISC2,,true,,,,
DICTIONARY_NUMBER,nelson_n,-,-,756,,
DICTIONARY_NUMBER,moro,2,0958,3461,,
QUERY_CODE,skip,-,1-3-5,,,
QUERY_CODE,sh_desc,-,3d5.1,,,
QUERY_CODE,four_corner,-,6605.0,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,コウ,"あお.る
す.う",,,,
READING_MEANING_MEANING_ENG,"sip
noisy
quack",,,,,
READING_MEANING_MEANING_POL,"łyk
popijanie
hałasujący
głośny
kwakanie",,,,,
END,呷,,,,,
,,,,,,
,,,,,,
BEGIN,鵁,9872,,,,
CODE_POINT,ucs,9d41,,,,
CODE_POINT,jis208,1-82-90,,,,
RADICAL,classical,196,,,,
MISC,-,17,,-,,-
MISC2,,false,,,,
DICTIONARY_NUMBER,nelson_n,-,-,6959,,
DICTIONARY_NUMBER,moro,12,0830,46888,,
QUERY_CODE,skip,-,1-6-11,,,
QUERY_CODE,sh_desc,-,11b6.2,,,
QUERY_CODE,four_corner,-,0742.7,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,コウ,,,,,
READING_MEANING_MEANING_ENG,night heron,,,,,
READING_MEANING_MEANING_POL,nocna czapla,,,,,
END,鵁,,,,,
,,,,,,
,,,,,,
BEGIN,捎,11019,,,,
CODE_POINT,ucs,634e,,,,
CODE_POINT,jis212,1-31-82,,,,
CODE_POINT,jis213,2-13-17,,,,
RADICAL,classical,64,,,,
MISC,-,10,,-,,-
MISC2,,false,,,,
DICTIONARY_NUMBER,moro,-,-,12148,,
QUERY_CODE,skip,-,1-3-7,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,"ソウ
ショウ",と.る,,,,
READING_MEANING_MEANING_ENG,"to select
to take
to carry",,,,,
READING_MEANING_MEANING_POL,"wybieranie
branie
noszenie
dźwiganie",,,,,
END,捎,,,,,
,,,,,,
,,,,,,
BEGIN,剣,768,,,,
CODE_POINT,ucs,5263,,,,
CODE_POINT,jis208,1-23-85,,,,
RADICAL,classical,18,,,,
MISC,8,10,"jis208|1-49-88
jis208|1-49-89
jis208|1-49-90
jis208|1-49-91
jis208|1-78-63",1305,,1
MISC2,,true,,,,
DICTIONARY_NUMBER,nelson_c,-,-,696,,
DICTIONARY_NUMBER,nelson_n,-,-,498,,
DICTIONARY_NUMBER,halpern_njecd,-,-,1672,,
DICTIONARY_NUMBER,halpern_kkd,-,-,2104,,
DICTIONARY_NUMBER,halpern_kkld,-,-,1096,,
DICTIONARY_NUMBER,halpern_kkld_2ed,-,-,1493,,
DICTIONARY_NUMBER,heisig,-,-,1671,,
DICTIONARY_NUMBER,heisig6,-,-,1801,,
DICTIONARY_NUMBER,gakken,-,-,1248,,
DICTIONARY_NUMBER,oneill_names,-,-,1151,,
DICTIONARY_NUMBER,oneill_kk,-,-,1436,,
DICTIONARY_NUMBER,moro,2,0295,2076,,
DICTIONARY_NUMBER,henshall,-,-,1214,,
DICTIONARY_NUMBER,sh_kk,-,-,879,,
DICTIONARY_NUMBER,sh_kk2,-,-,900,,
DICTIONARY_NUMBER,jf_cards,-,-,1095,,
DICTIONARY_NUMBER,tutt_cards,-,-,1310,,
DICTIONARY_NUMBER,kanji_in_context,-,-,791,,
DICTIONARY_NUMBER,kodansha_compact,-,-,198,,
DICTIONARY_NUMBER,maniette,-,-,1687,,
QUERY_CODE,skip,-,1-8-2,,,
QUERY_CODE,sh_desc,-,2f8.5,,,
QUERY_CODE,four_corner,-,8250.0,,,
QUERY_CODE,deroo,-,2843,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,ケン,つるぎ,,,,
READING_MEANING_MEANING_ENG,"sabre
sword
blade
clock hand",,,,,
READING_MEANING_MEANING_POL,"szabla
miecz
ostrze
wskazówka zegarka",,,,,
END,剣,,,,,
,,,,,,
,,,,,,
BEGIN,囈,3288,,,,
CODE_POINT,ucs,56c8,,,,
CODE_POINT,jis208,1-51-84,,,,
RADICAL,classical,30,,,,
MISC,-,21,,-,,-
MISC2,,true,,,,
DICTIONARY_NUMBER,nelson_c,-,-,1021,,
DICTIONARY_NUMBER,nelson_n,-,-,931,,
DICTIONARY_NUMBER,moro,2,1187,4629X,,
QUERY_CODE,skip,-,1-3-18,,,
QUERY_CODE,sh_desc,-,3d18.4,,,
QUERY_CODE,four_corner,-,6403.1,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,ゲイ,,,,,
READING_MEANING_MEANING_ENG,foolish talk,,,,,
READING_MEANING_MEANING_POL,"durna rozmowa
głupia rozmowa",,,,,
END,囈,,,,,
,,,,,,
,,,,,,
BEGIN,苟,4537,,,,
CODE_POINT,ucs,82df,,,,
CODE_POINT,jis208,1-71-81,,,,
RADICAL,classical,140,,,,
MISC,-,"8
9",,-,,-
MISC2,,true,,,,
DICTIONARY_NUMBER,nelson_c,-,-,3918,,
DICTIONARY_NUMBER,nelson_n,-,-,4999,,
DICTIONARY_NUMBER,moro,9,0571,30790X,,
QUERY_CODE,skip,-,2-3-5,,,
QUERY_CODE,sh_desc,-,3k5.31,,,
QUERY_CODE,four_corner,-,4462.7,,,
QUERY_CODE,skip,stroke_diff,2-4-5,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,"コウ
ク",いやしく.も,,,,
READING_MEANING_MEANING_ENG,"any
at all
in the least",,,,,
READING_MEANING_MEANING_POL,"żaden
wcale
ani trochę
zupełnie",,,,,
END,苟,,,,,
,,,,,,
,,,,,,
BEGIN,囫,9675,,,,
CODE_POINT,ucs,56eb,,,,
CODE_POINT,jis212,1-22-93,,,,
RADICAL,classical,31,,,,
MISC,-,7,,-,,-
MISC2,,false,,,,
DICTIONARY_NUMBER,moro,-,-,4711,,
QUERY_CODE,skip,-,3-3-4,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,"コツ
コチ","まったし
はっきりしない",,,,
READING_MEANING_MEANING_ENG,"entire
whole",,,,,
READING_MEANING_MEANING_POL,"całość
wszystko
zupełny
kompletny",,,,,
END,囫,,,,,
,,,,,,
,,,,,,
BEGIN,亜,2016,,,,
CODE_POINT,ucs,4e9c,,,,
CODE_POINT,jis208,1-16-01,,,,
RADICAL,classical,7,,,,
RADICAL,nelson_c,1,,,,
MISC,8,7,jis208|1-48-19,1509,,1
MISC2,,true,,,,
DICTIONARY_NUMBER,nelson_c,-,-,43,,
DICTIONARY_NUMBER,nelson_n,-,-,81,,
DICTIONARY_NUMBER,halpern_njecd,-,-,3540,,
DICTIONARY_NUMBER,halpern_kkd,-,-,4354,,
DICTIONARY_NUMBER,halpern_kkld,-,-,2204,,
DICTIONARY_NUMBER,halpern_kkld_2ed,-,-,2966,,
DICTIONARY_NUMBER,heisig,-,-,1809,,
DICTIONARY_NUMBER,heisig6,-,-,1950,,
DICTIONARY_NUMBER,gakken,-,-,1331,,
DICTIONARY_NUMBER,oneill_names,-,-,525,,
DICTIONARY_NUMBER,oneill_kk,-,-,1788,,
DICTIONARY_NUMBER,moro,1,0525,272,,
DICTIONARY_NUMBER,henshall,-,-,997,,
DICTIONARY_NUMBER,sh_kk,-,-,1616,,
DICTIONARY_NUMBER,sh_kk2,-,-,1724,,
DICTIONARY_NUMBER,jf_cards,-,-,1032,,
DICTIONARY_NUMBER,tutt_cards,-,-,1092,,
DICTIONARY_NUMBER,kanji_in_context,-,-,1818,,
DICTIONARY_NUMBER,kodansha_compact,-,-,35,,
DICTIONARY_NUMBER,maniette,-,-,1827,,
QUERY_CODE,skip,-,4-7-1,,,
QUERY_CODE,sh_desc,-,0a7.14,,,
QUERY_CODE,four_corner,-,1010.6,,,
QUERY_CODE,deroo,-,3273,,,
READING_MEANING_NANONI,"や
つぎ
つぐ",,,,,
READING_MEANING_READING,ア,つ.ぐ,,,,
READING_MEANING_MEANING_ENG,"Asia
rank next
come after
-ous",,,,,
READING_MEANING_MEANING_POL,"Azja
ranga następna
następowanie
???",,,,,
END,亜,,,,,
,,,,,,
,,,,,,
BEGIN,弎,10298,,,,
CODE_POINT,ucs,5f0e,,,,
CODE_POINT,jis212,1-28-64,,,,
CODE_POINT,jis213,2-12-14,,,,
RADICAL,classical,56,,,,
MISC,-,6,jis208|1-27-16,-,,-
MISC2,,false,,,,
DICTIONARY_NUMBER,nelson_c,-,-,1555,,
DICTIONARY_NUMBER,nelson_n,-,-,1674,,
DICTIONARY_NUMBER,moro,-,-,9662,,
QUERY_CODE,skip,-,3-3-3,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,"サン
ゾウ","み
み.つ
みっ.つ",,,,
READING_MEANING_MEANING_ENG,three,,,,,
READING_MEANING_MEANING_POL,trzy,,,,,
END,弎,,,,,
,,,,,,
,,,,,,
BEGIN,霃,10683,,,,
CODE_POINT,ucs,9703,,,,
CODE_POINT,jis212,1-71-01,,,,
RADICAL,classical,173,,,,
MISC,-,15,,-,,-
MISC2,,false,,,,
DICTIONARY_NUMBER,moro,-,-,42284,,
QUERY_CODE,skip,-,2-8-7,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,"チン
ジン",くも.る,,,,
READING_MEANING_MEANING_ENG,long continued rains,,,,,
READING_MEANING_MEANING_POL,długotrwały deszcz,,,,,
END,霃,,,,,
,,,,,,
,,,,,,
BEGIN,夣,10460,,,,
CODE_POINT,ucs,5923,,,,
CODE_POINT,jis212,1-24-73,,,,
RADICAL,classical,36,,,,
MISC,-,13,"jis208|1-44-20
jis208|1-52-77",-,,-
MISC2,,false,,,,
DICTIONARY_NUMBER,moro,-,-,5803,,
QUERY_CODE,skip,-,2-10-3,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,"ム
ボウ","ゆめ
ゆめ.みる
くら.い",,,,
READING_MEANING_MEANING_ENG,"dream
to dream
visionary
stupid",,,,,
READING_MEANING_MEANING_POL,"sen
marzenie
śnienie
wizjoner
marzyciel
durny
głupi
idiotyczny",,,,,
END,夣,,,,,
,,,,,,
,,,,,,
BEGIN,琉,2743,,,,
CODE_POINT,ucs,7409,,,,
CODE_POINT,jis208,1-46-16,,,,
RADICAL,classical,96,,,,
MISC,9,11,,2036,,1
MISC2,,true,,,,
DICTIONARY_NUMBER,nelson_c,-,-,2939,,
DICTIONARY_NUMBER,nelson_n,-,-,3642,,
DICTIONARY_NUMBER,halpern_kkd,-,-,1221,,
DICTIONARY_NUMBER,halpern_kkld,-,-,660,,
DICTIONARY_NUMBER,halpern_kkld_2ed,-,-,882,,
DICTIONARY_NUMBER,heisig,-,-,2557,,
DICTIONARY_NUMBER,heisig6,-,-,2611,,
DICTIONARY_NUMBER,moro,7,0918,20978X,,
QUERY_CODE,skip,-,1-4-7,,,
QUERY_CODE,sh_desc,-,4f7.5,,,
QUERY_CODE,four_corner,-,1011.3,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,"リュウ
ル",,,,,
READING_MEANING_MEANING_ENG,"precious stone
gem
lapis lazuli",,,,,
READING_MEANING_MEANING_POL,"kamień szlachetny
wartościowy kamień
klejnot
skarb
lazuryt
lapis lazuli",,,,,
END,琉,,,,,
,,,,,,
,,,,,,
BEGIN,俘,4868,,,,
CODE_POINT,ucs,4fd8,,,,
CODE_POINT,jis208,1-48-58,,,,
RADICAL,classical,9,,,,
MISC,-,9,,-,,-
MISC2,,true,,,,
DICTIONARY_NUMBER,nelson_c,-,-,442,,
DICTIONARY_NUMBER,nelson_n,-,-,210,,
DICTIONARY_NUMBER,moro,1,0786,697,,
QUERY_CODE,skip,-,1-2-7,,,
QUERY_CODE,sh_desc,-,2a6.9,,,
QUERY_CODE,four_corner,-,2224.7,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,フ,とりこ,,,,
READING_MEANING_MEANING_ENG,captive,,,,,
READING_MEANING_MEANING_POL,"jeniec
niewolnik",,,,,
END,俘,,,,,
,,,,,,
,,,,,,
BEGIN,錍,7413,,,,
CODE_POINT,ucs,930d,,,,
CODE_POINT,jis212,1-68-54,,,,
CODE_POINT,jis213,2-91-06,,,,
RADICAL,classical,167,,,,
MISC,-,16,,-,,-
MISC2,,false,,,,
DICTIONARY_NUMBER,moro,-,-,40531,,
QUERY_CODE,skip,-,1-8-8,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,"ヒ
ヘイ
ハイ",おの,,,,
END,錍,,,,,
,,,,,,
,,,,,,
BEGIN,冣,6972,,,,
CODE_POINT,ucs,51a3,,,,
CODE_POINT,jis212,1-18-87,,,,
CODE_POINT,jis213,2-03-13,,,,
RADICAL,classical,14,,,,
MISC,-,10,jis208|1-26-39,-,,-
MISC2,,false,,,,
DICTIONARY_NUMBER,moro,-,-,1586,,
QUERY_CODE,skip,-,2-2-8,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,"サイ
シュ","もっと.も
つま",,,,
END,冣,,,,,
,,,,,,
,,,,,,
BEGIN,彯,7320,,,,
CODE_POINT,ucs,5f6f,,,,
CODE_POINT,jis212,1-29-01,,,,
RADICAL,classical,59,,,,
MISC,-,14,,-,,-
MISC2,,false,,,,
DICTIONARY_NUMBER,moro,-,-,10014,,
QUERY_CODE,skip,-,1-11-3,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,ビョウ,,,,,
END,彯,,,,,
,,,,,,
,,,,,,
BEGIN,侭,2726,,,,
CODE_POINT,ucs,4fad,,,,
CODE_POINT,jis208,1-43-89,,,,
RADICAL,classical,9,,,,
MISC,-,8,"jis208|1-48-54
nelson_c|558",-,,-
MISC2,,true,,,,
DICTIONARY_NUMBER,nelson_n,-,-,170,,
DICTIONARY_NUMBER,heisig,-,-,2125,,
DICTIONARY_NUMBER,heisig6,-,-,2257,,
DICTIONARY_NUMBER,moro,-,-,0,,
QUERY_CODE,skip,-,1-2-6,,,
QUERY_CODE,sh_desc,-,2a14.2,,,
QUERY_CODE,four_corner,-,2521.7,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,ジン,"まま
ことごとく",,,,
READING_MEANING_MEANING_ENG,"as it is
because",,,,,
READING_MEANING_MEANING_POL,"tak to jest
ponieważ",,,,,
END,侭,,,,,
,,,,,,
,,,,,,
BEGIN,殿,1145,,,,
CODE_POINT,ucs,6bbf,,,,
CODE_POINT,jis208,1-37-34,,,,
RADICAL,classical,79,,,,
RADICAL,nelson_c,4,,,,
MISC,8,13,,1199,,2
MISC2,,true,,,,
DICTIONARY_NUMBER,nelson_c,-,-,242,,
DICTIONARY_NUMBER,nelson_n,-,-,3001,,
DICTIONARY_NUMBER,halpern_njecd,-,-,1792,,
DICTIONARY_NUMBER,halpern_kkd,-,-,2247,,
DICTIONARY_NUMBER,halpern_kkld,-,-,1171,,
DICTIONARY_NUMBER,halpern_kkld_2ed,-,-,1593,,
DICTIONARY_NUMBER,heisig,-,-,1805,,
DICTIONARY_NUMBER,heisig6,-,-,1945,,
DICTIONARY_NUMBER,gakken,-,-,1194,,
DICTIONARY_NUMBER,oneill_names,-,-,1960,,
DICTIONARY_NUMBER,oneill_kk,-,-,892,,
DICTIONARY_NUMBER,moro,6,0780,16651,,
DICTIONARY_NUMBER,henshall,-,-,1632,,
DICTIONARY_NUMBER,sh_kk,-,-,1130,,
DICTIONARY_NUMBER,sh_kk2,-,-,1182,,
DICTIONARY_NUMBER,jf_cards,-,-,658,,
DICTIONARY_NUMBER,tutt_cards,-,-,1637,,
DICTIONARY_NUMBER,kanji_in_context,-,-,1093,,
DICTIONARY_NUMBER,kodansha_compact,-,-,1142,,
DICTIONARY_NUMBER,maniette,-,-,1823,,
QUERY_CODE,skip,-,1-9-4,,,
QUERY_CODE,sh_desc,-,3r10.1,,,
QUERY_CODE,four_corner,-,7724.7,,,
QUERY_CODE,deroo,-,3768,,,
READING_MEANING_NANONI,"て
どん",,,,,
READING_MEANING_READING,"デン
テン","との
-どの",,,,
READING_MEANING_MEANING_ENG,"Mr.
hall
mansion
palace
temple
lord",,,,,
READING_MEANING_MEANING_POL,"pan
sala
mieszkanie
rezydencja
pałac
świątynia
władca",,,,,
END,殿,,,,,
,,,,,,
,,,,,,
BEGIN,茣,2959,,,,
CODE_POINT,ucs,8323,,,,
CODE_POINT,jis208,1-72-20,,,,
RADICAL,classical,140,,,,
MISC,-,"10
11",,-,,-
MISC2,,true,,,,
DICTIONARY_NUMBER,nelson_c,-,-,3949,,
DICTIONARY_NUMBER,nelson_n,-,-,5051,,
DICTIONARY_NUMBER,moro,00,0000,31090X,,
QUERY_CODE,skip,-,2-3-7,,,
QUERY_CODE,sh_desc,-,3k7.12,,,
QUERY_CODE,four_corner,-,4480.1,,,
QUERY_CODE,skip,stroke_diff,2-4-7,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,ゴ,,,,,
READING_MEANING_MEANING_ENG,"mat
matting",,,,,
READING_MEANING_MEANING_POL,"mat
mata",,,,,
END,茣,,,,,
,,,,,,
,,,,,,
BEGIN,瞵,11452,,,,
CODE_POINT,ucs,77b5,,,,
CODE_POINT,jis212,1-47-26,,,,
RADICAL,classical,109,,,,
MISC,-,17,,-,,-
MISC2,,false,,,,
DICTIONARY_NUMBER,moro,-,-,23712,,
QUERY_CODE,skip,-,1-5-12,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,"リン
レン",ひとみ,,,,
READING_MEANING_MEANING_ENG,to stare at,,,,,
READING_MEANING_MEANING_POL,"gapienie się
wpatrywanie się
zapatrzenie się",,,,,
END,瞵,,,,,
,,,,,,
,,,,,,
BEGIN,咍,9491,,,,
CODE_POINT,ucs,548d,,,,
CODE_POINT,jis212,1-21-06,,,,
CODE_POINT,jis213,2-03-77,,,,
RADICAL,classical,30,,,,
MISC,-,8,,-,,-
MISC2,,false,,,,
DICTIONARY_NUMBER,moro,-,-,3492,,
QUERY_CODE,skip,-,1-3-5,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,"カイ
タイ","わら.う
よろこ.ぶ",,,,
READING_MEANING_MEANING_ENG,laugh,,,,,
READING_MEANING_MEANING_POL,"śmiech
śmianie się",,,,,
END,咍,,,,,
,,,,,,
,,,,,,
BEGIN,拏,5454,,,,
CODE_POINT,ucs,62cf,,,,
CODE_POINT,jis208,1-57-28,,,,
RADICAL,classical,64,,,,
MISC,-,9,,-,,-
MISC2,,true,,,,
DICTIONARY_NUMBER,nelson_c,-,-,1862,,
DICTIONARY_NUMBER,nelson_n,-,-,2103,,
DICTIONARY_NUMBER,moro,5,0176,11954,,
QUERY_CODE,skip,-,2-5-4,,,
QUERY_CODE,sh_desc,-,3c5.30,,,
QUERY_CODE,four_corner,-,4750.2,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,"ダ
ナ","つか.む
ひ.く",,,,
READING_MEANING_MEANING_ENG,"catch
arrest",,,,,
READING_MEANING_MEANING_POL,"złapanie
schwytanie
aresztowanie
zatrzymanie",,,,,
END,拏,,,,,
,,,,,,
,,,,,,
BEGIN,閭,5343,,,,
CODE_POINT,ucs,95ad,,,,
CODE_POINT,jis208,1-79-67,,,,
RADICAL,classical,169,,,,
MISC,-,15,,-,,-
MISC2,,true,,,,
DICTIONARY_NUMBER,nelson_c,-,-,4960,,
DICTIONARY_NUMBER,nelson_n,-,-,6403,,
DICTIONARY_NUMBER,oneill_names,-,-,2426,,
DICTIONARY_NUMBER,moro,11,0745,41334,,
QUERY_CODE,skip,-,3-8-7,,,
QUERY_CODE,sh_desc,-,8e7.1,,,
QUERY_CODE,four_corner,-,7760.6,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,"リョ
ロ",さと,,,,
READING_MEANING_MEANING_ENG,rural area,,,,,
