締める,しめる,shimeru,tie,,締まる,しまる,shimaru,be tied
絞める,しめる,shimeru,constrict,,絞まる,しまる,shimaru,be constricted
閉める,しめる,shimeru,close,,閉まる,しまる,shimaru,be closed
過ごす,すごす,sugosu,pass,,過ぎる,すぎる,sugiru,pass
済ます,すます,sumasu,settle,,済む,すむ,sumu,be settled
澄ます,すます,sumasu,clarify,,澄む,すむ,sumu,clear
狭める,せばめる,sebameru,narrow,,狭まる,せばまる,sebamaru,narrow
育てる,そだてる,sodateru,bring up,,育つ,そだつ,sodatsu,be brought up
染める,そめる,someru,dye,,染まる,そまる,somaru,be dyed
背く,そむく,somuku,to turn one's back to,,背ける,そむける,somukeru,to have one's back turned
反らす,そらす,sorasu,warp,,反る,そる,soru,be warped
揃える,そろえる,soroeru,arrange,,揃う,そろう,sorō,be arranged
倒す,たおす,taosu,knock down,,倒れる,たおれる,taoreru,fall down
助ける,たすける,tasukeru,rescue,,助かる,たすかる,tasukaru,be rescued
立てる,たてる,tateru,stand,,立つ,たつ,tatsu,stand
溜める,ためる,tameru,accumulate,,溜まる,たまる,tamaru,be accumulated
縮める,ちぢめる,chijimeru,shrink,,縮む,ちぢむ,chijimu,shrink
散らす,ちらす,chirasu,scatter,,散る,ちる,chiru,be scattered
漬ける,つける,tsukeru,soak,,漬かる,つかる,tsukaru,be soaked
付ける,つける,tsukeru,attach,,付く,つく,tsuku,be attached
伝える,つたえる,tsutaeru,convey,,伝わる,つたわる,tsutawaru,be conveyed
続ける,つづける,tsuzukeru,continue,,続く,つづく,tsuzuku,continue
繋ぐ,つなぐ,tsunagu,connect,,繋がる,つながる,tsunagaru,be connected
潰す,つぶす,tsubusu,crush,,潰れる,つぶれる,tsubureru,be crushed
詰める,つめる,tsumeru,block,,詰まる,つまる,tsumaru,be blocked
積もる,つもる,tsumoru,load,,積む,つむ,tsumu,be loaded
出す,だす,dasu,send out,,出る,でる,deru,go out
通す,とおす,tōsu,allow through,,通る,とおる,tōru,go through
解かす,とかす,tokasu,take apart,,解ける,とける,tokeru,fall apart
融かす,とかす,tokasu,dissolve,,融ける,とける,tokeru,dissolve
溶かす,とかす,tokasu,melt,,溶ける,とける,tokeru,melt
届ける,とどける,todokeru,deliver,,届く,とどく,todoku,arrive
止める,とめる,tomeru,stop,,止まる,とまる,tomaru,stop
泊める,とめる,tomeru,lodge,,泊まる,とまる,tomaru,stay
取る,とる,toru,take off,,取れる,とれる,toreru,come off
直す,なおす,naosu,repair,,直る,なおる,naoru,be fixed
治す,なおす,naosu,cure,,治る,なおる,naoru,be cured
流す,ながす,nagasu,pour,,流れる,ながれる,nagareru,flow
泣かす,なかす,nakasu,make cry,,泣く,なく,naku,cry
無くす,なくす,nakusu,remove,,無くなる,なくなる,nakunaru,lose
亡くす,なくす,nakusu,lose someone,,亡くなる,なくなる,nakunaru,die
懐ける,なつける,natsukeru,gain affection,,懐く,なつく,natsuku,be attached
並べる,ならべる,naraberu,line up,,並ぶ,ならぶ,narabu,form a line
鳴らす,ならす,narasu,sound,,鳴る,なる,naru,sound
煮る,にる,niru,boil,,煮える,にえる,nieru,be boiled
逃がす,にがす,nigasu,let escape,,逃げる,にげる,nigeru,escape
濁す,にごす,nigosu,make muddy,,濁る,にごる,nigoru,become muddy
抜く,ぬく,nuku,throw,,抜ける,ぬける,nukeru,be thrown
脱ぐ,ぬぐ,nugu,take off,,脱げる,ぬげる,nugeru,come off
濡らす,ぬらす,nurasu,dampen,,濡れる,ぬれる,nureru,get wet
寝かす,ねかす,nekasu,make sleep,,寝る,ねる,neru,sleep
残す,のこす,nokosu,leave over,,残る,のこる,nokoru,remain
伸ばす,のばす,nobasu,stretch,,伸びる,のびる,nobiru,be stretched
延ばす,のばす,nobasu,prolong,,延びる,のびる,nobiru,be prolonged
乗せる,のせる,noseru,place on,,乗る,のる,noru,be placed on
載せる,のせる,noseru,publish,,載る,のる,noru,appear in print
入れる,いれる,ireru,put in,,入る,はいる,hairu,enter
生やす,はやす,hayasu,grow,,生える,はえる,haeru,grow
剥がす,はがす,hagasu,peel off,,剥がれる,はがれる,hagareru,peel off
励ます,はげます,hagemasu,encourage,,励む,はげむ,hagemu,endeavour
始める,はじめる,hajimeru,begin,,始まる,はじまる,hajimaru,begin
外す,はずす,hazusu,disconnect,,外れる,はずれる,hazureru,be disconnected
離す,はなす,hanasu,separate,,離れる,はなれる,hanareru,leave
腫らす,はらす,harasu,swell,,腫れる,はれる,hareru,swell
晴らす,はらす,harasu,clear away,,晴れる,はれる,hareru,clear away
冷やす,ひやす,hiyasu,cool down,,冷える,ひえる,hieru,cool down
浸す,ひたす,hitasu,soak,,浸る,ひたる,hitaru,be soaked
広げる,ひろげる,hirogeru,widen,,広がる,ひろがる,hirogaru,widen
深める,ふかめる,fukameru,deepen,,深まる,ふかまる,fukamaru,deepen
膨らます,ふくらます,fukuramasu,expand,,膨らむ,ふくらむ,fukuramu,expand
増やす,ふやす,fuyasu,increase,,増える,ふえる,fueru,increase
殖やす,ふやす,fuyasu,increase,,殖える,ふえる,fueru,increase
,ぶつける,butsukeru,hit,,,ぶつかる,butsukaru,be hit
隔てる,へだてる,hedateru,separate,,隔たる,へだたる,hedataru,be separated
減らす,へらす,herasu,decrease,,減る,へる,heru,decrease
解く,ほどく,hodoku,take apart,,解ける,ほどける,hodokeru,come apart
亡ぼす,ほろぼす,horobosu,destroy,,亡びる,ほろびる,horobiru,perish
滅ぼす,ほろぼす,horobosu,destroy,,滅びる,ほろびる,horobiru,perish
曲げる,まげる,mageru,bend,,曲がる,まがる,magaru,bend
負かす,まかす,makasu,defeat,,負ける,まける,makeru,be defeated
混ぜる,まぜる,mazeru,mix,,混ざる,まざる,mazaru,be mixed
間違える,まちがえる,machigaeru,make an error,,間違う,まちがう,machigau,be wrong
纏める,まとめる,matomeru,conclude,,纏まる,まとまる,matomaru,conclude
迷わす,まよわす,mayowasu,lose,,迷う,まよう,mayō,be lost
回す,まわす,mawasu,turn round,,回る,まわる,mawaru,go round
見る,みる,miru,see,,見える,みえる,mieru,be visible
乱す,みだす,midasu,disorder,,乱れる,みだれる,midareru,be disordered
見付ける,みつける,mitsukeru,find,,見つかる,みつかる,mitsukaru,be found
向ける,むける,mukeru,point towards,,向く,むく,muku,point towards
燃やす,もやす,moyasu,burn,,燃える,もえる,moeru,burn
戻す,もどす,modosu,return,,戻る,もどる,modoru,return
漏らす,もらす,morasu,leak,,漏れる,もれる,moreru,leak
焼く,やく,yaku,burn,,焼ける,やける,yakeru,burn
休める,やすめる,yasumeru,rest,,休む,やすむ,yasumu,rest
破る,やぶる,yaburu,tear,,破れる,やぶれる,yabureru,be torn
敗る,やぶる,yaburu,defeat,,敗れる,やぶれる,yabureru,be defeated
止める,やめる,yameru,stop,,止む,やむ,yamu,stop
緩める,ゆるめる,yurumeru,loosen,,緩む,ゆるむ,yurumu,be loose
汚す,よごす,yogosu,dirty,,汚れる,よごれる,yogoreru,be dirty
喜ばす,よろこばす,yorokobasu,please,,喜ぶ,よろこぶ,yorokobu,be pleased
弱める,よわめる,yowameru,weaken,,弱まる,よわまる,yowamaru,weaken
分ける,わける,wakeru,divide,,分かれる,わかれる,wakareru,be divided
沸かす,わかす,wakasu,boil,,沸く,わく,waku,boil
湧かす,わかす,wakasu,gush,,湧く,わく,waku,gush
煩わす,わずらわす,wazurawasu,make worried,,煩う,わずらう,wazurau,worry
渉す,わたす,watasu,extend,,渉る,わたる,wataru,extend
渡す,わたす,watasu,pass over,,渡る,わたる,wataru,cross over
割る,わる,waru,break,,割れる,われる,wareru,break
