,KANJI,WORD_VERB_U,HIRAGANA,Genki kanji 2-17,,写す,うつす,,utsusu,kopiować,
,KANJI,WORD_NOUN,HIRAGANA,Genki kanji 2-17,,写真,しゃしん,,shashin,"rysunek
zdjęcie",
,KANJI,WORD_NOUN,HIRAGANA,Genki kanji 2-17,,真ん中,まんなか,,mannaka,"środek
centrum",
,KANJI,UNKNOWN,HIRAGANA,Genki kanji 2-17,,の真上,のまうえ,,no maue,powyżej,~
,KANJI,UNKNOWN,HIRAGANA,Genki kanji 2-17,,真夜中,まよなか,,mayonaka,północ,środek nocy
,KANJI,WORD_VERB_U,HIRAGANA,Genki kanji 2-17,,歩く,あるく,,aruku,chodzić,
,KANJI,WORD_NOUN,HIRAGANA,Genki kanji 2-17,,歩道,ほどう,,hodou,chodnik,
,KANJI,WORD_VERB_IRREGULAR,HIRAGANA,Genki kanji 2-17,を,散歩する,さんぽする,o,sanpo suru,spacerować,~ o miejsce
,KANJI,WORD_NOUN,HIRAGANA,Genki kanji 2-17,,分野,ぶんや,,bun'ya,"dziedzina
dział
pole",
,KANJI,WORD_NOUN,HIRAGANA,Genki kanji 2-17,,小野さん,おのさん,,ono san,Pan/Pani Ono,
,KANJI,WORD_NOUN,HIRAGANA,Genki kanji 2-17,,長野,ながの,,nagano,Nagano,"miasto, prefektura w Japonii"
,KANJI,WORD_NOUN,HIRAGANA,Genki kanji 2-17,,野球,やきゅう,,yakyuu,baseball,
,KANJI,WORD_NOUN,HIRAGANA,Genki kanji 2-17,,野菜,やさい,,yasai,warzywa,
