WORD_KANJI_READING,,作,"つく
さく","tsuku
saku","tworzyć
robić",
WORD_KANJI_READING,,仕,し,shi,służyć,
WORD_KANJI_READING,,事,"ごと
こと
じ","goto
koto
ji",rzecz,
WORD_KANJI_READING,,電,でん,den,elektryczność,
WORD_KANJI_READING,,車,"くるま
しゃ","kuruma
sha",samochód,
WORD_KANJI_READING,,休,"やす
きゅう","yasu
kyuu",odpoczywać,
WORD_KANJI_READING,,言,"い
げん","i
gen",mówić,
WORD_KANJI_READING,,読,"よ
どく","yo
doku",czytać,
WORD_KANJI_READING,,思,"おも
し","omo
shi",myśleć,
WORD_KANJI_READING,,次,"つぎ
じ","tsugi
ji",następny,
WORD_KANJI_READING,,何,"なに
なん","nani
nan",co,
WORD_KANJI_READING,,午,ご,go,południe,czas
WORD_KANJI_READING,,後,"ご
あと
うし","go
ato
ushi",za,
WORD_KANJI_READING,,前,"まえ
ぜん","mae
zen",przed,
WORD_KANJI_READING,,名,"な
めい","na
mei",imię,
WORD_KANJI_READING,,白,"しろ
はく","shiro
haku",biały,
WORD_KANJI_READING,,雨,"あめ
う","ame
u",deszcz,
WORD_KANJI_READING,,書,"か
しょ","ka
sho",pisać,
WORD_KANJI_READING,,友,"とも
ゆう","tomo
yuu",przyjaciel,
WORD_KANJI_READING,,間,"かん
あいだ","kan
aida",pomiędzy,
WORD_KANJI_READING,,家,"いえ
か","ie
ka",dom,
WORD_KANJI_READING,,話,"はな
はなし
わ","hana
hanashi
wa",rozmawiać,
WORD_KANJI_READING,,少,"すこ
すく
しょう","suko
suku
shou",trochę,
WORD_KANJI_READING,,古,"ふる
こ","furu
ko",stary,
WORD_KANJI_READING,,知,"し
ち","shi
chi",wiedzieć,
WORD_KANJI_READING,,来,"く
き
こ
らい","ku
ki
ko
rai",wiedzieć,
WORD_KANJI_READING,,住,"す
じゅう","su
juu",mieszkać,
WORD_KANJI_READING,,正,"しょう
ただ","shou
tada",właściwy,
WORD_KANJI_READING,,年,"ねん
とし","nen
toshi",rok,
WORD_KANJI_READING,,売,"う
ばい","u
bai",sprzedawać,
WORD_KANJI_READING,,買,か,ka,kupować,
WORD_KANJI_READING,,町,"まち
ちょう","machi
chou",miasto,
WORD_KANJI_READING,,長,"なが
ちょう","naga
chou",długi,
WORD_KANJI_READING,,道,"みち
どう","michi
dou",droga,
WORD_KANJI_READING,,雪,"ゆき
せつ","yuki
setsu",śnieg,
WORD_KANJI_READING,,立,"た
りつ","ta
ritsu",stać,
WORD_KANJI_READING,,自,じ,ji,siebie,
WORD_KANJI_READING,,夜,"よる
よ
や","yoru
yo
ya",noc,
WORD_KANJI_READING,,朝,"あさ
ちょう","asa
chou",ranek,
WORD_KANJI_READING,,持,"も
じ","mo
ji",mieć,
WORD_KANJI_READING,,手,"て
しゅ","te
shu",ręka,
WORD_KANJI_READING,,紙,"がみ
かみ
し","gami
kami
shi",papier,
WORD_KANJI_READING,,好,"す
こう
この","su
kou
kono",ulubiony,
WORD_KANJI_READING,,近,"ちか
きん","chika
kin",w pobliżu,
WORD_KANJI_READING,,明,"あか
めい","aka
mei",jasny,
WORD_KANJI_READING,,病,びょう,byou,chory,
WORD_KANJI_READING,,院,いん,in,instytucja,
WORD_KANJI_READING,,映,"えい
うつ","ei
utsu",odbijać,
WORD_KANJI_READING,,画,"が
かく","ga
kaku",obrazek,
WORD_KANJI_READING,,歌,"うた
か","uta
ka",śpiewać,
WORD_KANJI_READING,,市,"し
いち","shi
ichi",miasto,
WORD_KANJI_READING,,所,"ところ
じょ
どころ
しょ","tokoro
jo
dokoro
sho",miejsce,
WORD_KANJI_READING,,勉,"べん
つと","ben
tsuto",robić coś dokładnie,
