91,1,衈,-,"spryskanie krwią ofiarnego ptaka
drzwi i naczynia",
92,1,衊,-,"zbezcześcić
plugawić
kalać
plamić
szkalować
oczerniać
zniesławić",
93,1,衅,-,"święcenie ofiarnych naczyń przy użyciu krwi
szczelina
szpara
rysa",
94,1,衁,-,krew,
95,1,衹,-,"ale
tylko
jedynie
zaledwie",
96,1,衩,-,"wcięcie w ubraniu (np. w sukni, umożliwiający wystawienie nogi)
ruch
poruszenie",
97,1,衤,-,"ubranie
odzież
ubiór
strój
element podstawowy na ubranie",
98,1,讅,-,poznanie (czegoś) w szczegółach,
99,1,讁,-,"winić
potępiać
karać",
100,1,讍,-,"rzetelna przemowa
szczera mowa",
101,1,讋,-,"zazdrość
zawiść
strach
obawa
lęk
gadatliwy
wielomówny
rozgadany",
102,1,讕,-,"fałszywe oskarżenie
zniesławienie
oszczerstwo",
103,1,讞,-,"decydować
rozstrzygać
sędzia
sądzić
oceniać
werdykt
wyrok
orzeczenie",
104,1,讟,-,"oszczerstwo
zniesławienie
całkowicie złe słowa
kompletnie złe słowa",
105,1,讜,-,"rada
porada
mówić otwarcie",
106,1,讙,-,"kłótliwy
swarliwy
hałaśliwy
krzykliwy",
107,1,謭,-,"płytki
powierzchowny
durny
głupi
idiotyczny",
108,1,謼,-,"wzywać
wywoływać
wołać
opłakiwać
lamentować
płakać
krzyczeć
wrzeszczeć",
109,1,謾,-,"gardzić
pogardzać
wzgardzić",
110,1,謷,-,"duży
wielki
gruby
ogromny
olbrzymi
oszczerstwo
zniesławienie
lżyć
wymyślać
urągać",
111,1,謊,-,"kłamstwo
łgarstwo",
112,1,謆,-,"omamić
mamić
oczarować
uwodzić
przymilać się",
113,1,謇,-,"mówić szczerze
mówić otwarcie
jąkanie
jąkać się",
114,1,謅,-,"grać słowami
dowcip
żart
bredzić",
115,1,謟,-,"być niepewny
być wątpliwy
być niezdecydowany
wątpliwość
wątpliwy
zwątpienie
niepewność
niepewny
pochlebiać
schlebiać",
116,1,謑,-,"hańba
niełaska
wstyd
kompromitacja",
117,1,譭,-,"zniesławić
oczerniać
szkalować
oszczerstwo
zniesławienie
pomówienie",
