15,"WORD_NOUN
WORD_ADVERB",,HIRAGANA,"Genki 1-1
Genki kanji 1-3",,三時,さんじ,,san ji,"trzecia godzina
popołudniowa przekąska (jedzona około 3 godziny)
trzy epoki buddyzmu (po śmierci Gautamy Buddy; epoka prawdziwego prawa, epoka skopiowanego prawa i epoka degeneracji prawa) (buddyzm)
trzy wieki dharmy (buddyzm)",,DICTIONARY2_SOURCE,,GroupId: 1300520
16,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 1-3",,四時,よじ,,yoji,czwarta godzina,,DICTIONARY2_SOURCE,"DUPLICATE 60705
DUPLICATE 221841",GroupId: 1307230
17,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 1-3",,五時,ごじ,,goji,piąta godzina,,DICTIONARY2_SOURCE,,GroupId: 2845367
18,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 1-3",,六時,ろくじ,,rokuji,"szósta godzina
sześć okresów dnia (buddyzm; rano, południe, popołudnie, wieczór, północ, późna noc)",,DICTIONARY2_SOURCE,,GroupId: 2583620
19,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 1-3",,七時,しちじ,,shichiji,siódma godzina,,DICTIONARY2_SOURCE,,GroupId: 2845363
20,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 1-3",,八時,はちじ,,hachiji,ósma godzina,,DICTIONARY2_SOURCE,,GroupId: 2845368
21,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 1-3",,九時,くじ,,kuji,dziewiąta godzina,,DICTIONARY2_SOURCE,,GroupId: 2845349
22,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 1-3",,十時,じゅうじ,,juuji,dziesiąta godzina,,DICTIONARY2_SOURCE,,GroupId: 2845369
23,WORD_NOUN,,HIRAGANA,Genki 1-1,,十一時,じゅういちじ,,juuichiji,jedenasta godzina,,DICTIONARY2_SOURCE,,GroupId: 2845370
24,WORD_NOUN,,HIRAGANA,Genki 1-1,,十二時,じゅうにじ,,juu niji,"dwunasta godzina
południe
północ",,DICTIONARY2_SOURCE,,GroupId: 1334960
25,WORD_NOUN,,HIRAGANA,Genki 1-1,,一時半,いちじはん,,ichiji han,godzina 1:30,,IGNORE_NO_JMEDICT,,
26,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 1-3",,一分,いっぷん,,ippun,"minuta
jedna minuta",,DICTIONARY2_SOURCE,"DUPLICATE 38609
DUPLICATE 61643",GroupId: 1166290
27,WORD_NOUN,,HIRAGANA,Genki 1-1,,二分,にふん,,nifun,dwie minuty,,DICTIONARY2_SOURCE,DUPLICATE 14139,GroupId: 2219180
28,WORD_NOUN,,HIRAGANA,Genki 1-1,,三分,さんぷん,,sanpun,"trzy minuty
3 minuty",,DICTIONARY2_SOURCE,DUPLICATE 68115,GroupId: 1814040
29,WORD_NOUN,,HIRAGANA,Genki 1-1,,四分,よんぷん,,yonpun,cztery minuty,,DICTIONARY2_SOURCE,DUPLICATE 67865,GroupId: 2863218
30,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 1-6",,五分,ごふん,,gofun,pięć minut,,DICTIONARY2_SOURCE,"DUPLICATE 14982
DUPLICATE 68116",GroupId: 2039350
31,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 1-3",,六分,ろっぷん,,roppun,sześć minut,,DICTIONARY2_SOURCE,,GroupId: 2056150
32,WORD_NOUN,,HIRAGANA,Genki 1-1,,七分,ななふん,,nanafun,"7 minut
siedem minut",,DICTIONARY2_SOURCE,"DUPLICATE 65612
DUPLICATE 241175",GroupId: 2864067
33,WORD_NOUN,,HIRAGANA,Genki 1-1,,八分,はっぷん,,happun,"osiem minut
pismo urzędnicze z trójkątem (pismo urzędnicze, którego linie poziome kończą się widocznym trójkątnym ogonem)",,DICTIONARY2_SOURCE,DUPLICATE 53210,GroupId: 2038580
34,WORD_NOUN,,HIRAGANA,Genki 1-1,,九分,きゅうふん,,kyuufun,"9 minut
dziewięć minut",,DICTIONARY2_SOURCE,DUPLICATE 52990,GroupId: 2864068
35,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 1-6",,十分,じゅっぷん,,juppun,"10 minut
dziesięć minut",,DICTIONARY2_SOURCE,"DUPLICATE 11529
DUPLICATE 25993",GroupId: 1335070
36,WORD_NOUN,,HIRAGANA,Genki 1-1,,一歳,いっさい,,issai,jeden rok,wiek,DICTIONARY2_SOURCE,,GroupId: 1587450
37,WORD_NOUN,,HIRAGANA,Genki 1-1,,二歳,にさい,,nisai,dwa lata,wiek,IGNORE_NO_JMEDICT,,
38,WORD_NOUN,,HIRAGANA,Genki 1-1,,三歳,さんさい,,sansai,trzy lata,wiek,IGNORE_NO_JMEDICT,,
39,WORD_NOUN,,HIRAGANA,Genki 1-1,,四歳,よんさい,,yonsai,cztery lata,wiek,IGNORE_NO_JMEDICT,,
40,WORD_NOUN,,HIRAGANA,Genki 1-1,,五歳,ごさい,,gosai,pięć lat,wiek,IGNORE_NO_JMEDICT,,
41,WORD_NOUN,,HIRAGANA,Genki 1-1,,六歳,ろくさい,,rokusai,sześć lat,wiek,IGNORE_NO_JMEDICT,,
42,WORD_NOUN,,HIRAGANA,Genki 1-1,,七歳,ななさい,,nanasai,siedem lat,wiek,IGNORE_NO_JMEDICT,,
43,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 1-3",,八歳,はっさい,,hassai,osiem lat,wiek,IGNORE_NO_JMEDICT,,
44,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 1-3",,九歳,きゅうさい,,kyuusai,dziewięć lat,wiek,IGNORE_NO_JMEDICT,,
45,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 1-3",,十歳,じゅっさい,,jussai,"dziesięć lat
10 lat",wiek,DICTIONARY2_SOURCE,DUPLICATE 25997,GroupId: 2762890
46,WORD_NOUN,,HIRAGANA,Genki 1-1,,十一歳,じゅういっさい,,juuissai,jedenaście lat,wiek,IGNORE_NO_JMEDICT,,
47,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 2-17",,二十歳,はたち,,hatachi,"dwadzieścia lat
20 lat",wiek,DICTIONARY2_SOURCE,"DUPLICATE 54544
DUPLICATE 255722
DUPLICATE 255723",GroupId: 1600790
48,WORD_INTERJECTION,ALTERNATIVE 21203,HIRAGANA,"Genki 1-1
Zwroty grzecznościowe",,お早う御座います,おはようございます,,ohayou gozaimasu,dzień dobry,uprzejmie; pisanie zwykle z użyciem kana; używane o każdej porze dnia w niektórych branżach i miejscach pracy,DICTIONARY2_SOURCE,DUPLICATE 178862,GroupId: 1002340
49,WORD_INTERJECTION,,HIRAGANA_EXCEPTION,"Genki 1-1
Zwroty grzecznościowe",,今日は,こんにちは,,konnichi wa,dzień dobry,pisanie zwykle z użyciem kana; używane w ciągu dnia jako powitanie. こんちは to forma kolokwialna. は jest wymawiane jako わ,DICTIONARY2_SOURCE,"DUPLICATE 277695
DUPLICATE 277696
DUPLICATE 277697",GroupId: 1289400
50,WORD_INTERJECTION,,HIRAGANA_EXCEPTION,"Genki 1-1
Zwroty grzecznościowe",,今晩は,こんばんは,,konban wa,dobry wieczór,pisanie zwykle z użyciem kana; używane wieczorem jako powitanie. は wymawia się jako わ,DICTIONARY2_SOURCE,DUPLICATE 277702,GroupId: 1289480
51,WORD_INTERJECTION,,HIRAGANA,"Genki 1-1
Zwroty grzecznościowe",,左様なら,さようなら,,sayounara,"do widzenia
pożegnanie
żegnaj
na razie",pisanie zwykle z użyciem kana,DICTIONARY2_SOURCE,"DUPLICATE 198827
DUPLICATE 271836
DUPLICATE 271880",GroupId: 1291050
52,WORD_EXPRESSION,,HIRAGANA,"Genki 1-1
Zwroty grzecznościowe",,お休みなさい,おやすみなさい,,oyasumi nasai,dobranoc,pisanie zwykle z użyciem kana,DICTIONARY2_SOURCE,,GroupId: 1001780
53,WORD_INTERJECTION,,HIRAGANA,"Genki 1-1
Zwroty grzecznościowe",,有難う,ありがとう,,arigatou,dziękuję,pisanie zwykle z użyciem kana,DICTIONARY2_SOURCE,,GroupId: 1586820
54,WORD_EXPRESSION,,HIRAGANA,"Genki 1-1
Zwroty grzecznościowe",,有難う御座います,ありがとうございます,,arigatou gozaimasu,dziękuję bardzo,uprzejmie; pisanie zwykle z użyciem kana,DICTIONARY2_SOURCE,,GroupId: 1541040
55,"WORD_EXPRESSION
WORD_INTERJECTION",,HIRAGANA,"Genki 1-1
Zwroty grzecznościowe",,済みません,すみません,,sumimasen,"przepraszam (używany do przepraszania lub zwracania komuś uwagi)
wybacz mi (używany do przepraszania lub zwracania komuś uwagi)
proszę mi wybaczyć (używany do przepraszania lub zwracania komuś uwagi)
dziękuję
nie powinienem bym",uprzejmie; pisanie zwykle z użyciem kana,DICTIONARY2_SOURCE,DUPLICATE 253737,GroupId: 1295060
56,WORD_INTERJECTION,,HIRAGANA,Genki 1-1,,-,いいえ,,iie,"nie
nie ma za co
wcale nie
nie wspominaj o tym",,DICTIONARY2_SOURCE,,GroupId: 1583250
57,WORD_EXPRESSION,,HIRAGANA,"Genki 1-1
Zwroty grzecznościowe",,行ってきます,いってきます,,itte kimasu,"wychodzę (i wrócę później)
do zobaczenia później","uprzejmie; dosł: idę i wrócę, często odpowiada się na to いってらっしゃい",DICTIONARY2_SOURCE,,GroupId: 2020140
58,WORD_INTERJECTION,,HIRAGANA,"Genki 1-1
Zwroty grzecznościowe",,行ってらっしゃい,いってらっしゃい,,itte rasshai,"dobrego dnia
trzymaj się
uważaj na siebie","pisanie zwykle z użyciem kana; dosł: idź i wróć, często jest to odpowiedź na いってきます",DICTIONARY2_SOURCE,,GroupId: 2088750
