40,見,"widzenie
patrzenie
oglądanie
pokazywanie
mieć nadzieję
szanse
okazje
pojęcie
wyobrażenie
opinia
pogląd
patrzenie na
widoczny",,"Genki kanji 1-5
Jōyō 1",true,"Kanji: 見
Meaning: see
Meaning: hopes
Meaning: chances
Meaning: idea
Meaning: opinion
Meaning: look at
Meaning: visible"
41,行,"iść
jechanie
podróż
przeprowadzanie
realizowanie
robienie
czynienie
wykonywanie
linia (w tekście)
wiersz
bank",,"Genki kanji 1-5
Jōyō 2",true,"Kanji: 行
Meaning: going
Meaning: journey
Meaning: carry out
Meaning: conduct
Meaning: act
Meaning: line
Meaning: row
Meaning: bank"
42,食,"jeść
jedzenie
pożywienie
posiłek",,"Genki kanji 1-5
Jōyō 2",true,"Kanji: 食
Meaning: eat
Meaning: food"
43,飲,"picie
palenie
branie",,"Genki kanji 1-5
Jōyō 3",true,"Kanji: 飲
Meaning: drink
Meaning: smoke
Meaning: take"
44,東,wschód,,"Genki kanji 1-6
Jōyō 2",true,"Kanji: 東
Meaning: east"
45,西,"zachód
Hiszpania",,"Genki kanji 1-6
Jōyō 2",true,"Kanji: 西
Meaning: west
Meaning: Spain"
46,南,południe,kierunek geograficzny,"Genki kanji 1-6
Jōyō 2",true,"Kanji: 南
Meaning: south"
47,北,północ,kierunek geograficzny,"Genki kanji 1-6
Jōyō 2",true,"Kanji: 北
Meaning: north"
48,口,usta,,"Genki kanji 1-6
Jōyō 1",true,"Kanji: 口
Meaning: mouth"
49,出,"wyjście
wychodzenie
wyjeżdżanie
wydawanie
publikowanie
wystawanie
sterczenie",,"Genki kanji 1-6
Jōyō 1",true,"Kanji: 出
Meaning: exit
Meaning: leave
Meaning: go out
Meaning: come out
Meaning: put out
Meaning: protrude"
50,右,prawo,kierunek,"Genki kanji 1-6
Jōyō 1",true,"Kanji: 右
Meaning: right"
51,左,"lewo
lewy",,"Genki kanji 1-6
Jōyō 1",true,"Kanji: 左
Meaning: left"
52,分,"dzielenie
część
minuta
segment
udział
podział
stopień
obowiązek
rozumienie
pojmowanie
wiedzieć
znanie
wskaźnik
1%
szanse
shaku/100",,"Genki kanji 1-6
Jōyō 2",true,"Kanji: 分
Meaning: part
Meaning: minute of time
Meaning: segment
Meaning: share
Meaning: degree
Meaning: one's lot
Meaning: duty
Meaning: understand
Meaning: know
Meaning: rate
Meaning: 1%
Meaning: chances
Meaning: shaku/100"
53,先,"przed
zanim
poprzedni
wcześniejszy
przyszłość
pierwszeństwo
poprzedzanie",,"Genki kanji 1-6
Jōyō 1",true,"Kanji: 先
Meaning: before
Meaning: ahead
Meaning: previous
Meaning: future
Meaning: precedence"
54,生,"życie
istnienie
narodziny
prawdziwy",,"Genki kanji 1-6
Jōyō 1",true,"Kanji: 生
Meaning: life
Meaning: genuine
Meaning: birth"
55,大,"duży
potężny
olbrzymi
wielki",,"Genki kanji 1-6
Jōyō 1",true,"Kanji: 大
Meaning: large
Meaning: big"
56,学,"nauka
uczenie się
badanie",,"Genki kanji 1-6
Jōyō 1",true,"Kanji: 学
Meaning: study
Meaning: learning
Meaning: science"
57,外,"zewnątrz
na zewnątrz",,"Genki kanji 1-6
Jōyō 2",true,"Kanji: 外
Meaning: outside"
58,国,"kraj
państwo",,"Genki kanji 1-6
Jōyō 2",true,"Kanji: 国
Meaning: country"
59,京,"stolica
10**16",,"Genki kanji 1-7
Jōyō 2",true,"Kanji: 京
Meaning: capital
Meaning: 10**16"
