647435,WORD_PERSON,,HIRAGANA_KATAKANA,,,-,アスガード,,asugaado,Asgard,,,
647445,WORD_PERSON,,HIRAGANA_KATAKANA,,,-,アスクレピオス,,asukurepiosu,Aesculapius,,,
647455,WORD_PERSON,,HIRAGANA_KATAKANA,,,-,アスシーディク,,asushiidiku,As-siddiq,,,
647461,WORD_PERSON,,HIRAGANA_KATAKANA,,,-,アスタルト,,asutaruto,Astarte,,,
647486,WORD_PERSON,,HIRAGANA_KATAKANA,,,-,アストリッドリンドグレーン,,asutoriddorindogureen,Astrid Lindgren,,,
647490,WORD_PERSON,,HIRAGANA_KATAKANA,,,-,アストルピアソラ,,asutorupiasora,Astor Piazzolla,,,
647492,WORD_PERSON,,HIRAGANA_KATAKANA,,,-,アストル・ピアソラ,,asutorupiasora,Astor Piazzolla,,,
647527,WORD_PERSON,,HIRAGANA_KATAKANA,,,-,アスランマスハドフ,,asuranmasuhadofu,Aslan Markhadov,,,
647606,WORD_PERSON,,HIRAGANA_KATAKANA,,,-,アタルビハリバジパイ,,atarubiharibajipai,Atal Bihari Vajpayee,,,
647620,WORD_PERSON,,HIRAGANA_KATAKANA,,,-,アダムサンドラー,,adamusandoraa,Adam Sandler,,,
647640,WORD_PERSON,,HIRAGANA_KATAKANA,,,-,アダンドゥラアル,,adanduraaru,A'dam de la Halle,,,
647676,WORD_PERSON,,HIRAGANA_KATAKANA,,,-,アッシジのフランチェスコ,,asshijinofuranchesuko,Francis of Assisi,,,
647684,WORD_PERSON,,HIRAGANA_KATAKANA,,,-,アッシュールバニパル,,asshuurubaniparu,Ashurbanipal,,,
647708,WORD_PERSON,,HIRAGANA_KATAKANA,,,-,アッティラ,,attira,Attila,,,
647847,WORD_PERSON,,HIRAGANA_KATAKANA,,,-,アトン,,aton,Aten,,,
647859,WORD_PERSON,,HIRAGANA_KATAKANA,,,-,アドナンパチャチ,,adonanpachachi,Adnan Pachachi,,,
